Scale Factor,Variant,Trial,Query,Time
3,standard,5,Q1.3,0.01294
3,standard,5,Q2.1,0.04859
3,standard,5,Q2.2,0.01804
3,standard,5,Q2.3,0.01482
3,standard,5,Q3.1,0.05707
3,standard,5,Q3.2,0.18118
3,standard,5,Q3.3,0.02044
3,standard,5,Q3.4,0.01089
3,standard,5,Q4.1,0.03746
3,standard,5,Q4.2,0.03762
3,standard,5,Q4.3,0.02183
3,standard,6,Q1.1,0.01539
3,standard,6,Q1.2,0.01388
3,standard,6,Q1.3,0.01266
3,standard,6,Q2.1,0.07741
3,standard,6,Q2.2,0.01719
3,standard,6,Q2.3,0.01407
3,standard,6,Q3.1,0.05553
3,standard,6,Q3.2,0.15838
3,standard,6,Q3.3,0.01915
3,standard,6,Q3.4,0.01164
3,standard,6,Q4.1,0.03901
3,standard,6,Q4.2,0.03514
3,standard,6,Q4.3,0.02285
3,standard,7,Q1.1,0.02194
3,standard,7,Q1.2,0.01801
3,standard,7,Q1.3,0.01783
3,standard,7,Q2.1,0.05907
3,standard,7,Q2.2,0.01719
3,standard,7,Q2.3,0.01419
3,standard,7,Q3.1,0.05909
3,standard,7,Q3.2,0.18862
3,standard,7,Q3.3,0.01811
3,standard,7,Q3.4,0.01162
3,standard,7,Q4.1,0.03715
3,standard,7,Q4.2,0.03809
3,standard,7,Q4.3,0.02135
3,standard,8,Q1.1,0.01441
3,standard,8,Q1.2,0.01419
3,standard,8,Q1.3,0.01287
3,standard,8,Q2.1,0.06388
3,standard,8,Q2.2,0.01761
3,standard,8,Q2.3,0.01472
3,standard,8,Q3.1,0.06274
3,standard,8,Q3.2,0.16815
3,standard,8,Q3.3,0.01762
3,standard,8,Q3.4,0.01094
3,standard,8,Q4.1,0.03737
3,standard,8,Q4.2,0.03565
3,standard,8,Q4.3,0.02216
3,standard,9,Q1.1,0.01474
3,standard,9,Q1.2,0.01425
3,standard,9,Q1.3,0.01291
3,standard,9,Q2.1,0.07673
3,standard,9,Q2.2,0.01752
3,standard,9,Q2.3,0.01501
3,standard,9,Q3.1,0.06018
3,standard,9,Q3.2,0.17284
3,standard,9,Q3.3,0.01885
3,standard,9,Q3.4,0.01065
3,standard,9,Q4.1,0.0388
3,standard,9,Q4.2,0.03767
3,standard,9,Q4.3,0.02398
3,widetable,0,Q1.1,0.01514
3,widetable,0,Q1.2,0.00686
3,widetable,0,Q1.3,0.00517
3,widetable,0,Q2.1,0.114
3,widetable,0,Q2.2,0.01286
3,widetable,0,Q2.3,0.00803
3,widetable,0,Q3.1,0.09759
3,widetable,0,Q3.2,0.0929
3,widetable,0,Q3.3,0.01799
3,widetable,0,Q3.4,0.00836
3,widetable,0,Q4.1,0.01905
3,widetable,0,Q4.2,0.02118
3,widetable,0,Q4.3,0.01296
3,widetable,1,Q1.1,0.00869
3,widetable,1,Q1.2,0.00792
3,widetable,1,Q1.3,0.00545
3,widetable,1,Q2.1,0.09974
3,widetable,1,Q2.2,0.01383
3,widetable,1,Q2.3,0.00787
3,widetable,1,Q3.1,0.08848
3,widetable,1,Q3.2,0.0638
3,widetable,1,Q3.3,0.02025
3,widetable,1,Q3.4,0.00823
3,widetable,1,Q4.1,0.0179
3,widetable,1,Q4.2,0.02069
3,widetable,1,Q4.3,0.01323
3,widetable,2,Q1.1,0.00951
3,widetable,2,Q1.2,0.00788
3,widetable,2,Q1.3,0.01059
3,widetable,2,Q2.1,0.08225
3,widetable,2,Q2.2,0.01313
3,widetable,2,Q2.3,0.00827
3,widetable,2,Q3.1,0.09069
3,widetable,2,Q3.2,0.05568
3,widetable,2,Q3.3,0.01787
3,widetable,2,Q3.4,0.00808
3,widetable,2,Q4.1,0.01791
3,widetable,2,Q4.2,0.03321
3,widetable,2,Q4.3,0.0151
3,widetable,3,Q1.1,0.00902
3,widetable,3,Q1.2,0.00676
3,widetable,3,Q1.3,0.00552
3,widetable,3,Q2.1,0.08621
3,widetable,3,Q2.2,0.01353
3,widetable,3,Q2.3,0.00816
3,widetable,3,Q3.1,0.08686
3,widetable,3,Q3.2,0.05607
3,widetable,3,Q3.3,0.01713
3,widetable,3,Q3.4,0.0081
3,widetable,3,Q4.1,0.0152
3,widetable,3,Q4.2,0.01833
3,widetable,3,Q4.3,0.01606
3,widetable,4,Q1.1,0.00886
3,widetable,4,Q1.2,0.00672
3,widetable,4,Q1.3,0.00525
3,widetable,4,Q2.1,0.08528
3,widetable,4,Q2.2,0.01338
3,widetable,4,Q2.3,0.00759
3,widetable,4,Q3.1,0.08998
3,widetable,4,Q3.2,0.04895
3,widetable,4,Q3.3,0.01684
3,widetable,4,Q3.4,0.00853
3,widetable,4,Q4.1,0.01525
3,widetable,4,Q4.2,0.01783
3,widetable,4,Q4.3,0.01223
3,widetable,5,Q1.1,0.00854
3,widetable,5,Q1.2,0.00817
3,widetable,5,Q1.3,0.00564
3,widetable,5,Q2.1,0.06936
3,widetable,5,Q2.2,0.01401
3,widetable,5,Q2.3,0.00822
3,widetable,5,Q3.1,0.08914
3,widetable,5,Q3.2,0.05337
3,widetable,5,Q3.3,0.01698
3,widetable,5,Q3.4,0.0081
3,widetable,5,Q4.1,0.0149
3,widetable,5,Q4.2,0.01684
3,widetable,5,Q4.3,0.01487
3,widetable,6,Q1.1,0.00935
3,widetable,6,Q1.2,0.00716
3,widetable,6,Q1.3,0.00556
3,widetable,6,Q2.1,0.06881
3,widetable,6,Q2.2,0.02237
3,widetable,6,Q2.3,0.00856
3,widetable,6,Q3.1,0.06393
3,widetable,6,Q3.2,0.05983
3,widetable,6,Q3.3,0.01719
3,widetable,6,Q3.4,0.00805
3,widetable,6,Q4.1,0.016
3,widetable,6,Q4.2,0.01795
3,widetable,6,Q4.3,0.01244
3,widetable,7,Q1.1,0.00869
3,widetable,7,Q1.2,0.00696
3,widetable,7,Q1.3,0.00552
3,widetable,7,Q2.1,0.07008
3,widetable,7,Q2.2,0.01392
3,widetable,7,Q2.3,0.00851
3,widetable,7,Q3.1,0.08991
3,widetable,7,Q3.2,0.05975
3,widetable,7,Q3.3,0.01796
3,widetable,7,Q3.4,0.00809
3,widetable,7,Q4.1,0.01568
3,widetable,7,Q4.2,0.01795
3,widetable,7,Q4.3,0.0126
3,widetable,8,Q1.1,0.00834
3,widetable,8,Q1.2,0.00748
3,widetable,8,Q1.3,0.01424
3,widetable,8,Q2.1,0.07365
3,widetable,8,Q2.2,0.0144
3,widetable,8,Q2.3,0.00813
3,widetable,8,Q3.1,0.09087
3,widetable,8,Q3.2,0.05916
3,widetable,8,Q3.3,0.01687
3,widetable,8,Q3.4,0.00815
3,widetable,8,Q4.1,0.02292
3,widetable,8,Q4.2,0.02113
3,widetable,8,Q4.3,0.0123
3,widetable,9,Q1.1,0.00873
3,widetable,9,Q1.2,0.00689
3,widetable,9,Q1.3,0.00528
3,widetable,9,Q2.1,0.07149
3,widetable,9,Q2.2,0.0169
3,widetable,9,Q2.3,0.00753
3,widetable,9,Q3.1,0.06419
3,widetable,9,Q3.2,0.05446
3,widetable,9,Q3.3,0.02066
3,widetable,9,Q3.4,0.00951
3,widetable,9,Q4.1,0.01645
3,widetable,9,Q4.2,0.0179
3,widetable,9,Q4.3,0.01242
10,standard,0,Q1.1,0.04642
10,standard,0,Q1.2,0.03899
10,standard,0,Q1.3,0.03587
10,standard,0,Q2.1,0.09755
10,standard,0,Q2.2,0.03172
10,standard,0,Q2.3,0.02469
10,standard,0,Q3.1,0.09546
10,standard,0,Q3.2,0.06976
10,standard,0,Q3.3,0.03236
10,standard,0,Q3.4,0.02338
10,standard,0,Q4.1,0.07279
10,standard,0,Q4.2,0.07345
10,standard,0,Q4.3,0.04319
10,standard,1,Q1.1,0.04068
10,standard,1,Q1.2,0.038
10,standard,1,Q1.3,0.03383
10,standard,1,Q2.1,0.12488
10,standard,1,Q2.2,0.03303
10,standard,1,Q2.3,0.02635
10,standard,1,Q3.1,0.09443
10,standard,1,Q3.2,0.07697
10,standard,1,Q3.3,0.03712
10,standard,1,Q3.4,0.02586
10,standard,1,Q4.1,0.07453
10,standard,1,Q4.2,0.07091
10,standard,1,Q4.3,0.04235
10,standard,2,Q1.1,0.04224
10,standard,2,Q1.2,0.03912
10,standard,2,Q1.3,0.03449
10,standard,2,Q2.1,0.11405
10,standard,2,Q2.2,0.03085
10,standard,2,Q2.3,0.0246
10,standard,2,Q3.1,0.09649
10,standard,2,Q3.2,0.07664
10,standard,2,Q3.3,0.03768
10,standard,2,Q3.4,0.02608
10,standard,2,Q4.1,0.07436
10,standard,2,Q4.2,0.07521
10,standard,2,Q4.3,0.04406
10,standard,3,Q1.1,0.03883
10,standard,3,Q1.2,0.03906
10,standard,3,Q1.3,0.03413
10,standard,3,Q2.1,0.0821
10,standard,3,Q2.2,0.03385
10,standard,3,Q2.3,0.02705
10,standard,3,Q3.1,0.09477
10,standard,3,Q3.2,0.07523
10,standard,3,Q3.3,0.02745
10,standard,3,Q3.4,0.02799
10,standard,3,Q4.1,0.07443
10,standard,3,Q4.2,0.07945
10,standard,3,Q4.3,0.04307
10,standard,4,Q1.1,0.03828
10,standard,4,Q1.2,0.03837
10,standard,4,Q1.3,0.03623
10,standard,4,Q2.1,0.08737
10,standard,4,Q2.2,0.031
10,standard,4,Q2.3,0.02451
10,standard,4,Q3.1,0.09369
10,standard,4,Q3.2,0.07265
10,standard,4,Q3.3,0.02785
10,standard,4,Q3.4,0.02311
10,standard,4,Q4.1,0.07693
10,standard,4,Q4.2,0.0733
10,standard,4,Q4.3,0.0432
10,standard,5,Q1.1,0.04007
10,standard,5,Q1.2,0.0386
10,standard,5,Q1.3,0.03359
10,standard,5,Q2.1,0.08321
10,standard,5,Q2.2,0.03133
10,standard,5,Q2.3,0.02729
10,standard,5,Q3.1,0.09577
10,standard,5,Q3.2,0.07703
10,standard,5,Q3.3,0.04015
10,standard,5,Q3.4,0.03425
10,standard,5,Q4.1,0.07772
10,standard,5,Q4.2,0.07583
10,standard,5,Q4.3,0.04442
10,standard,6,Q1.1,0.03974
10,standard,6,Q1.2,0.03741
10,standard,6,Q1.3,0.03799
10,standard,6,Q2.1,0.08823
10,standard,6,Q2.2,0.03652
10,standard,6,Q2.3,0.02722
10,standard,6,Q3.1,0.09476
10,standard,6,Q3.2,0.07602
10,standard,6,Q3.3,0.0274
10,standard,6,Q3.4,0.02576
10,standard,6,Q4.1,0.07125
10,standard,6,Q4.2,0.07601
10,standard,6,Q4.3,0.0431
10,standard,7,Q1.1,0.04088
10,standard,7,Q1.2,0.03823
10,standard,7,Q1.3,0.03349
10,standard,7,Q2.1,0.08318
10,standard,7,Q2.2,0.03191
10,standard,7,Q2.3,0.02423
10,standard,7,Q3.1,0.09417
10,standard,7,Q3.2,0.07797
10,standard,7,Q3.3,0.03363
10,standard,7,Q3.4,0.02448
10,standard,7,Q4.1,0.0746
10,standard,7,Q4.2,0.07524
10,standard,7,Q4.3,0.04398
10,standard,8,Q1.1,0.03981
10,standard,8,Q1.2,0.03728
10,standard,8,Q1.3,0.03458
10,standard,8,Q2.1,0.08546
10,standard,8,Q2.2,0.03171
10,standard,8,Q2.3,0.0252
10,standard,8,Q3.1,0.09593
10,standard,8,Q3.2,0.09296
10,standard,8,Q3.3,0.0331
10,standard,8,Q3.4,0.02339
10,standard,8,Q4.1,0.07466
10,standard,8,Q4.2,0.07329
10,standard,8,Q4.3,0.04313
10,standard,9,Q1.1,0.03759
10,standard,9,Q1.2,0.03739
10,standard,9,Q1.3,0.03449
10,standard,9,Q2.1,0.08457
10,standard,9,Q2.2,0.03119
10,standard,9,Q2.3,0.02458
10,standard,9,Q3.1,0.09909
10,standard,9,Q3.2,0.07899
10,standard,9,Q3.3,0.02832
10,standard,9,Q3.4,0.02289
10,standard,9,Q4.1,0.07118
10,standard,9,Q4.2,0.07843
10,standard,9,Q4.3,0.04699
10,widetable,0,Q1.1,0.03185
10,widetable,0,Q1.2,0.02169
10,widetable,0,Q1.3,0.01912
10,widetable,0,Q2.1,0.23577
10,widetable,0,Q2.2,0.03274
10,widetable,0,Q2.3,0.02117
10,widetable,0,Q3.1,0.30311
10,widetable,0,Q3.2,0.15552
10,widetable,0,Q3.3,0.0419
10,widetable,0,Q3.4,0.02146
10,widetable,0,Q4.1,0.03608
10,widetable,0,Q4.2,0.0428
10,widetable,0,Q4.3,0.02697
10,widetable,1,Q1.1,0.02296
10,widetable,1,Q1.2,0.01841
10,widetable,1,Q1.3,0.01724
10,widetable,1,Q2.1,0.15851
10,widetable,1,Q2.2,0.03226
10,widetable,1,Q2.3,0.01834
10,widetable,1,Q3.1,0.2726
10,widetable,1,Q3.2,0.12723
10,widetable,1,Q3.3,0.0407
10,widetable,1,Q3.4,0.02081
10,widetable,1,Q4.1,0.03725
10,widetable,1,Q4.2,0.04231
10,widetable,1,Q4.3,0.02955
10,widetable,2,Q1.1,0.02356
10,widetable,2,Q1.2,0.01936
10,widetable,2,Q1.3,0.01652
10,widetable,2,Q2.1,0.15904
10,widetable,2,Q2.2,0.02918
10,widetable,2,Q2.3,0.01779
10,widetable,2,Q3.1,0.26908
10,widetable,2,Q3.2,0.11905
10,widetable,2,Q3.3,0.0398
10,widetable,2,Q3.4,0.02098
10,widetable,2,Q4.1,0.03762
10,widetable,2,Q4.2,0.04319
